Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
09-10-2024,15:30,09-10-2024,ALPHABET INC CLASS C,US02079K1079,Ingreso Cambio de Divisa,,EUR,904.34,EUR,975.16,1b8646b8-b13c-4b63-a2f2-3d4395214923
09-10-2024,15:30,09-10-2024,ALPHABET INC CLASS C,US02079K1079,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,70.82,1b8646b8-b13c-4b63-a2f2-3d4395214923
09-10-2024,15:30,09-10-2024,ALPHABET INC CLASS C,US02079K1079,"Venta 6 Alphabet Inc Class C@165,5 USD (US02079K1079)",,USD,993.00,USD,993.00,1b8646b8-b13c-4b63-a2f2-3d4395214923
05-10-2024,07:51,30-09-2024,,,Flatex Interest Income,,EUR,0.00,EUR,72.82,
03-10-2024,19:46,03-10-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 13,28 EUR",,,,EUR,72.82,
03-10-2024,19:46,03-10-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-13.28,EUR,59.54,
03-10-2024,06:48,02-10-2024,,,Ingreso Cambio de Divisa,,EUR,13.28,EUR,72.82,
03-10-2024,06:48,02-10-2024,,,Retirada Cambio de Divisa,1.1072,USD,-14.70,USD,0.00,
03-10-2024,05:16,02-10-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-3.12,EUR,59.54,
03-10-2024,05:16,02-10-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 3,12 EUR",,,,EUR,62.66,
02-10-2024,07:36,01-10-2024,COCA-COLA,US1912161007,Dividendo,,USD,12.13,USD,14.70,
02-10-2024,07:36,01-10-2024,COCA-COLA,US1912161007,Retención del dividendo,,USD,-1.82,USD,2.57,
02-10-2024,07:26,01-10-2024,SPDR S&P US DIVIDEND ARISTOCRATS ETF,IE00B6YX5D40,Dividendo,,USD,4.39,USD,4.39,
02-10-2024,06:47,01-10-2024,,,Ingreso Cambio de Divisa,,EUR,3.12,EUR,59.54,
02-10-2024,06:47,01-10-2024,,,Retirada Cambio de Divisa,1.1096,USD,-3.46,USD,0.00,
01-10-2024,07:18,30-09-2024,PEPSICO INC,US7134481081,Dividendo,,USD,4.07,USD,3.46,
01-10-2024,07:18,30-09-2024,PEPSICO INC,US7134481081,Retención del dividendo,,USD,-0.61,USD,-0.61,
27-09-2024,22:03,27-09-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 5,32 EUR",,,,EUR,56.42,
27-09-2024,22:03,27-09-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-5.32,EUR,51.10,
27-09-2024,06:50,26-09-2024,,,Ingreso Cambio de Divisa,,EUR,5.32,EUR,56.42,
27-09-2024,06:50,26-09-2024,,,Retirada Cambio de Divisa,1.1205,USD,-5.96,USD,0.00,
26-09-2024,07:33,25-09-2024,VANGUARD S&P 500 UCITS ETF USD,IE00B3XXRP09,Dividendo,,USD,2.56,USD,5.96,
26-09-2024,07:07,25-09-2024,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00B3RBWM25,Dividendo,,USD,3.40,USD,3.40,
18-09-2024,17:16,18-09-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1,83 EUR",,,,EUR,51.10,
18-09-2024,17:16,18-09-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.83,EUR,49.27,
18-09-2024,06:57,17-09-2024,,,Ingreso Cambio de Divisa,,EUR,1.83,EUR,51.10,
