Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
18-09-2025,11:30,18-09-2025,,,Degiro Cash Sweep Transfer,,EUR,"544,20",EUR,"608,54",
18-09-2025,10:52,18-09-2025,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00B3RBWM25,Costes de transacción y/o externos de DEGIRO,,EUR,"-1,00",EUR,"64,34",850050fb-af30-47d8-af86-0cd01bb7732c
18-09-2025,10:52,18-09-2025,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00B3RBWM25,"Compra 4 Vanguard FTSE All-World UCITS ETF USD Dis@135,8 EUR (IE00B3RBWM25)",,EUR,"-543,20",EUR,"65,34",850050fb-af30-47d8-af86-0cd01bb7732c
18-09-2025,10:31,18-09-2025,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 604,8 EUR",,,,EUR,"608,54",
18-09-2025,10:31,18-09-2025,,,Degiro Cash Sweep Transfer,,EUR,"604,80",EUR,"1213,34",
18-09-2025,09:00,18-09-2025,BANCO DE SABADELL SA,ES0113860A34,Spanish Transaction Tax,,EUR,"-1,20",EUR,"608,54",0e5dba3f-7c3d-47e6-ad8e-ff618e26a5fe
18-09-2025,09:00,18-09-2025,BANCO DE SABADELL SA,ES0113860A34,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"609,74",0e5dba3f-7c3d-47e6-ad8e-ff618e26a5fe
18-09-2025,09:00,18-09-2025,BANCO DE SABADELL SA,ES0113860A34,"Compra 188 Banco de Sabadell SA@3,2 EUR (ES0113860A34)",,EUR,"-601,60",EUR,"611,74",0e5dba3f-7c3d-47e6-ad8e-ff618e26a5fe
17-09-2025,22:10,17-09-2025,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 596,4 EUR",,,,EUR,"1213,34",
17-09-2025,22:10,17-09-2025,,,Degiro Cash Sweep Transfer,,EUR,"596,40",EUR,"1809,74",
17-09-2025,20:02,17-09-2025,NOVO NORDISK A/S CLASS B,DK0062498333,Costes de transacción y/o externos de DEGIRO,,EUR,"-3,90",EUR,"1213,34",b0934607-f2e2-4490-9c48-5082e873b39c
17-09-2025,20:02,17-09-2025,NOVO NORDISK A/S CLASS B,DK0062498333,"Compra 12 Novo Nordisk A/S Class B@49,375 EUR (DK0062498333)",,EUR,"-592,50",EUR,"1217,24",b0934607-f2e2-4490-9c48-5082e873b39c
17-09-2025,11:51,17-09-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1,2 EUR",,,,EUR,"1809,74",
17-09-2025,11:51,17-09-2025,,,Degiro Cash Sweep Transfer,,EUR,"-1,20",EUR,"1808,54",
17-09-2025,07:07,16-09-2025,,,Ingreso Cambio de Divisa,,EUR,"1,20",EUR,"1809,74",
17-09-2025,07:07,16-09-2025,,,Retirada Cambio de Divisa,"1,1896",USD,"-1,43",USD,"0,00",
16-09-2025,07:34,15-09-2025,ALPHABET INC CLASS C,US02079K1079,Dividendo,,USD,"1,68",USD,"1,43",
16-09-2025,07:34,15-09-2025,ALPHABET INC CLASS C,US02079K1079,Retención del dividendo,,USD,"-0,25",USD,"-0,25",
15-09-2025,09:00,15-09-2025,,,flatex Deposit,,EUR,"300,00",EUR,"1808,54",
15-09-2025,04:21,15-09-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 2,4 EUR",,,,EUR,"1508,54",
15-09-2025,04:21,15-09-2025,,,Degiro Cash Sweep Transfer,,EUR,"-2,40",EUR,"1506,14",
13-09-2025,06:38,12-09-2025,,,Ingreso Cambio de Divisa,,EUR,"2,40",EUR,"1508,54",
13-09-2025,06:38,12-09-2025,,,Retirada Cambio de Divisa,"1,1764",USD,"-2,82",USD,"0,00",
12-09-2025,19:40,12-09-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1.446,15 EUR",,,,EUR,"1506,14",
12-09-2025,19:40,12-09-2025,,,Degiro Cash Sweep Transfer,,EUR,"-1446,15",EUR,"59,99",
12-09-2025,18:13,12-09-2025,VISA INC CLASS A,US92826C8394,Retirada Cambio de Divisa,"1,1743",USD,"-1700,60",USD,"2,82",98775ba6-f885-46b6-b4d2-41eb4a56d98f
12-09-2025,18:13,12-09-2025,VISA INC CLASS A,US92826C8394,Ingreso Cambio de Divisa,,EUR,"1448,15",EUR,"1506,14",98775ba6-f885-46b6-b4d2-41eb4a56d98f
12-09-2025,18:13,12-09-2025,VISA INC CLASS A,US92826C8394,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"57,99",98775ba6-f885-46b6-b4d2-41eb4a56d98f
12-09-2025,18:13,12-09-2025,VISA INC CLASS A,US92826C8394,"Venta 5 Visa Inc Class A@340,12 USD (US92826C8394)",,USD,"1700,60",USD,"1703,42",98775ba6-f885-46b6-b4d2-41eb4a56d98f
12-09-2025,08:23,11-09-2025,MICROSOFT CORP,US5949181045,Retención del dividendo,,USD,"1,00",USD,"2,82",
12-09-2025,08:23,11-09-2025,MICROSOFT CORP,US5949181045,Dividendo,,USD,"-6,64",USD,"1,82",
12-09-2025,08:22,11-09-2025,MICROSOFT CORP,US5949181045,Dividendo,,USD,"3,32",USD,"8,46",
12-09-2025,08:22,11-09-2025,MICROSOFT CORP,US5949181045,Retención del dividendo,,USD,"-0,50",USD,"5,14",
12-09-2025,07:43,12-09-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 3,58 EUR",,,,EUR,"59,99",
12-09-2025,07:43,12-09-2025,,,Degiro Cash Sweep Transfer,,EUR,"-3,58",EUR,"56,41",
12-09-2025,07:23,11-09-2025,MICROSOFT CORP,US5949181045,Dividendo,,USD,"3,32",USD,"5,64",
12-09-2025,07:23,11-09-2025,MICROSOFT CORP,US5949181045,Retención del dividendo,,USD,"-0,50",USD,"2,32",
12-09-2025,07:21,11-09-2025,MICROSOFT CORP,US5949181045,Retención del dividendo,,USD,"-0,50",USD,"2,82",
12-09-2025,07:21,11-09-2025,MICROSOFT CORP,US5949181045,Dividendo,,USD,"3,32",USD,"3,32",
12-09-2025,06:39,11-09-2025,,,Ingreso Cambio de Divisa,,EUR,"3,58",EUR,"59,99",
12-09-2025,06:39,11-09-2025,,,Retirada Cambio de Divisa,"1,1764",USD,"-4,21",USD,"0,00",
11-09-2025,07:44,10-09-2025,EXXON MOBIL CORP,US30231G1022,Retención del dividendo,,USD,"-0,74",USD,"4,21",
11-09-2025,07:44,10-09-2025,EXXON MOBIL CORP,US30231G1022,Dividendo,,USD,"4,95",USD,"4,95",
04-09-2025,08:02,04-09-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 4,29 EUR",,,,EUR,"56,41",
04-09-2025,08:02,04-09-2025,,,Degiro Cash Sweep Transfer,,EUR,"-4,29",EUR,"52,12",
04-09-2025,06:41,03-09-2025,,,Ingreso Cambio de Divisa,,EUR,"4,29",EUR,"56,41",
04-09-2025,06:41,03-09-2025,,,Retirada Cambio de Divisa,"1,1691",USD,"-5,01",USD,"0,00",
03-09-2025,07:39,02-09-2025,VISA INC CLASS A,US92826C8394,Dividendo,,USD,"5,90",USD,"5,01",
03-09-2025,07:39,02-09-2025,VISA INC CLASS A,US92826C8394,Retención del dividendo,,USD,"-0,89",USD,"-0,89",
02-09-2025,06:40,02-09-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 30,33 EUR",,,,EUR,"52,12",
02-09-2025,06:40,02-09-2025,,,Degiro Cash Sweep Transfer,,EUR,"-30,33",EUR,"21,79",
02-09-2025,05:46,29-08-2025,BANCO DE SABADELL SA,ES0113860A34,Retención del dividendo,,EUR,"-7,12",EUR,"52,12",
02-09-2025,05:46,29-08-2025,BANCO DE SABADELL SA,ES0113860A34,Dividendo,,EUR,"37,45",EUR,"59,24",
28-08-2025,08:50,28-08-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 19,55 EUR",,,,EUR,"21,79",
28-08-2025,08:50,28-08-2025,,,Degiro Cash Sweep Transfer,,EUR,"-19,55",EUR,"2,24",
28-08-2025,07:48,27-08-2025,ISHARES CORE EURO STOXX 50 UCITS ETF,IE0008471009,Dividendo,,EUR,"19,55",EUR,"21,79",
26-08-2025,17:20,26-08-2025,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 1.570,73 EUR",,,,EUR,"2,24",
26-08-2025,17:20,26-08-2025,,,Degiro Cash Sweep Transfer,,EUR,"1570,73",EUR,"1572,97",
26-08-2025,16:40,26-08-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1.557,01 EUR",,,,EUR,"2,24",
26-08-2025,16:40,26-08-2025,,,Degiro Cash Sweep Transfer,,EUR,"-1557,01",EUR,"-1554,77",
26-08-2025,16:27,26-08-2025,TELEFONICA SA,ES0178430E18,Spanish Transaction Tax,,EUR,"-0,49",EUR,"2,24",a45e7443-4b15-405c-91ff-e5cd32df21db
26-08-2025,16:27,26-08-2025,TELEFONICA SA,ES0178430E18,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"2,73",a45e7443-4b15-405c-91ff-e5cd32df21db
26-08-2025,16:27,26-08-2025,TELEFONICA SA,ES0178430E18,"Compra 53 Telefonica SA@4,619 EUR (ES0178430E18)",,EUR,"-244,81",EUR,"4,73",a45e7443-4b15-405c-91ff-e5cd32df21db
26-08-2025,16:25,26-08-2025,NOVO NORDISK A/S CLASS B,DK0062498333,Costes de transacción y/o externos de DEGIRO,,EUR,"-3,90",EUR,"249,54",4e4b3319-4958-4590-b7ff-1c08415183b2
26-08-2025,16:25,26-08-2025,NOVO NORDISK A/S CLASS B,DK0062498333,"Compra 10 Novo Nordisk A/S Class B@47,095 EUR (DK0062498333)",,EUR,"-470,95",EUR,"253,44",4e4b3319-4958-4590-b7ff-1c08415183b2
26-08-2025,16:23,26-08-2025,CAIXABANK SA,ES0140609019,Spanish Transaction Tax,,EUR,"-0,43",EUR,"724,39",0e4c6605-9206-4d39-90c0-0bb3f69067d2
26-08-2025,16:23,26-08-2025,CAIXABANK SA,ES0140609019,Spanish Transaction Tax,,EUR,"-0,43",EUR,"724,82",0e4c6605-9206-4d39-90c0-0bb3f69067d2
26-08-2025,16:23,26-08-2025,CAIXABANK SA,ES0140609019,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"725,25",0e4c6605-9206-4d39-90c0-0bb3f69067d2
26-08-2025,16:23,26-08-2025,CAIXABANK SA,ES0140609019,"Compra 25 CaixaBank SA@8,66 EUR (ES0140609019)",,EUR,"-216,50",EUR,"727,25",0e4c6605-9206-4d39-90c0-0bb3f69067d2
26-08-2025,16:23,26-08-2025,CAIXABANK SA,ES0140609019,"Compra 25 CaixaBank SA@8,66 EUR (ES0140609019)",,EUR,"-216,50",EUR,"943,75",0e4c6605-9206-4d39-90c0-0bb3f69067d2
26-08-2025,16:22,26-08-2025,BANCO SANTANDER SA,ES0113900J37,Spanish Transaction Tax,,EUR,"-0,82",EUR,"1160,25",5b34342d-6748-4cb5-ba93-42e903708ea0
26-08-2025,16:22,26-08-2025,BANCO SANTANDER SA,ES0113900J37,Costes de transacción y/o externos de DEGIRO,,EUR,"-2,00",EUR,"1161,07",5b34342d-6748-4cb5-ba93-42e903708ea0
